Job Role,Required Skills,Experience,Keywords
Cloud Engineer,"AWS, CI/CD, Monitoring, Azure, Docker, Kubernetes, Cloud Security, Terraform, Serverless",4+ years,"Cloud Migration, Infrastructure as Code, Automation, Scalability"
Cybersecurity Analyst,"Cryptography, SOC, Network Security",7+ years,"Threat Intelligence, Compliance, SIEM"
Cybersecurity Analyst,"Network Security, SOC, Penetration Testing",12+ years,"Mitigation, Threat Intelligence, Compliance"
Network Engineer,"Firewalls, VPN, Switching, Routing, Network Security, WAN, Cisco, SDN",8+ years,"QoS, Monitoring, Troubleshooting, Network Design"
Network Engineer,"Network Security, WAN, LAN, Switching, Cisco, VPN, Firewalls",2+ years,"Troubleshooting, Network Design, QoS, Monitoring"
Cybersecurity Analyst,"Network Security, SOC, Penetration Testing, Risk Assessment",4+ years,"SIEM, Threat Intelligence"
Network Engineer,"LAN, Switching, VPN, WAN, Cisco, SDN",7+ years,"Network Design, QoS, Troubleshooting"
Machine Learning Engineer,"Computer Vision, Model Deployment, Deep Learning, NLP, PyTorch",6+ years,"Model Tuning, Research, Algorithm Development, Big Data, AI"
Cybersecurity Analyst,"Penetration Testing, SOC, Risk Assessment",9+ years,"Compliance, Threat Intelligence, Forensics, SIEM, Mitigation"
IT Support Specialist,"Active Directory, Network Support, Remote Support, Customer Service, Linux",5+ years,"Hardware, Ticketing"
Cybersecurity Analyst,"Network Security, SOC, Incident Response, Cryptography, Penetration Testing, Vulnerability Management",4+ years,"Compliance, SIEM"
Data Scientist,"TensorFlow, Statistics, Machine Learning, Python, PyTorch",5+ years,"A/B Testing, ETL, Predictive Modeling"
IT Support Specialist,"Linux, Customer Service, Windows, Active Directory, Remote Support, Troubleshooting",2+ years,"Incident Management, Technical Support, Ticketing"
Cloud Engineer,"CI/CD, AWS, Serverless, Kubernetes, Monitoring",6+ years,"Automation, Cloud Migration, Scalability, Infrastructure as Code, DevOps"
Cybersecurity Analyst,"Penetration Testing, Network Security, Vulnerability Management, Incident Response, Risk Assessment",9+ years,"SIEM, Threat Intelligence, Forensics, Mitigation"
IT Support Specialist,"Software Installation, Windows, Remote Support, Help Desk",1+ years,"Incident Management, User Training, Technical Support, Ticketing, Hardware"
Cloud Engineer,"Kubernetes, CI/CD, Terraform, Azure, Monitoring, Cloud Security, Serverless",10+ years,"Automation, Scalability"
Software Engineer,"Microservices, Agile, Docker, Python, Git, REST APIs, C++",5+ years,"Unit Testing, Scalability, Design Patterns, Code Quality, Agile Development"
IT Support Specialist,"Software Installation, Linux, Help Desk, Remote Support, Troubleshooting, Network Support, Windows, Active Directory, Customer Service",8+ years,"User Training, Technical Support, Incident Management, Hardware"
Machine Learning Engineer,"Computer Vision, PyTorch, Model Deployment, Python, TensorFlow, Data Preprocessing, Deep Learning",2+ years,"Algorithm Development, Big Data, Model Tuning, AI, Research"
Cloud Engineer,"Monitoring, AWS, Serverless, Azure, Cloud Security, Docker",5+ years,"Infrastructure as Code, Automation, Scalability"
Cybersecurity Analyst,"Risk Assessment, Network Security, Incident Response, Cryptography, Vulnerability Management, Penetration Testing, SOC",5+ years,"SIEM, Mitigation, Compliance, Forensics, Threat Intelligence"
Cloud Engineer,"Kubernetes, Azure, CI/CD, Terraform",8+ years,"Automation, DevOps"
Cloud Engineer,"Serverless, Cloud Security, Terraform, Docker, Kubernetes, Azure, Monitoring, AWS, CI/CD",5+ years,"Scalability, DevOps"
Cloud Engineer,"CI/CD, Docker, Azure, Terraform, Serverless, Kubernetes, Cloud Security, Monitoring, AWS",5+ years,"Cloud Migration, Scalability, Infrastructure as Code, DevOps"
DevOps Engineer,"Monitoring, Kubernetes, Ansible, CI/CD, Terraform",6+ years,"Cloud, Scalability, Infrastructure as Code, Agile"
Network Engineer,"LAN, Switching, Routing, WAN, SDN, Firewalls, Network Security",9+ years,"Capacity Planning, Troubleshooting, QoS, Network Design, Monitoring"
Machine Learning Engineer,"Computer Vision, Python, TensorFlow, PyTorch",5+ years,"AI, Big Data"
Network Engineer,"Routing, SDN, VPN, Switching",4+ years,"Monitoring, Troubleshooting, Network Design"
Cybersecurity Analyst,"Penetration Testing, Network Security, Incident Response, Cryptography, SOC, Risk Assessment, Vulnerability Management",7+ years,"Compliance, Threat Intelligence, Forensics, SIEM, Mitigation"
DevOps Engineer,"CI/CD, AWS, Linux, Docker, Ansible, Kubernetes",5+ years,"Agile, Automation, Scalability, Infrastructure as Code"
IT Support Specialist,"Help Desk, Active Directory, Windows, Network Support, Troubleshooting, Remote Support, Customer Service",7+ years,"Ticketing, Hardware, User Training"
Network Engineer,"VPN, SDN, WAN, Routing",10+ years,"Monitoring, QoS, Troubleshooting"
Data Scientist,"Statistics, Data Visualization, TensorFlow, PyTorch",3+ years,"Big Data, ETL, Data Mining, A/B Testing, Predictive Modeling"
Cybersecurity Analyst,"Penetration Testing, Incident Response, Network Security, Vulnerability Management, Risk Assessment, Cryptography",10+ years,"Compliance, Threat Intelligence, Mitigation, Forensics, SIEM"
Software Engineer,"Git, Docker, Microservices, Java, Python, Spring Boot, C++, REST APIs, Agile",1+ years,"Code Quality, Unit Testing"
Cybersecurity Analyst,"Penetration Testing, Cryptography, Network Security, SOC, Risk Assessment, Vulnerability Management",6+ years,"Forensics, Compliance, SIEM"
Software Engineer,"Git, Agile, Microservices, Java, Python, C++, Docker, Spring Boot, REST APIs",6+ years,"Scalability, Code Quality, Agile Development"
DevOps Engineer,"Kubernetes, Monitoring, Jenkins, Linux, Docker, Terraform, Ansible, AWS, CI/CD",4+ years,"Agile, Scalability, Automation, Cloud"
Data Scientist,"Data Visualization, PyTorch, TensorFlow, Machine Learning, SQL, R",10+ years,"ETL, Big Data, Data Mining, Predictive Modeling"
Data Scientist,"Deep Learning, PyTorch, Data Visualization, Statistics",1+ years,"ETL, Data Mining, Big Data"
Software Engineer,"Spring Boot, Java, REST APIs, Python, Agile, Docker, Microservices",7+ years,"Agile Development, Unit Testing, Design Patterns"
Cloud Engineer,"Kubernetes, AWS, Azure, Monitoring, CI/CD, Cloud Security, Serverless",10+ years,"Scalability, Infrastructure as Code, DevOps, Automation, Cloud Migration"
IT Support Specialist,"Customer Service, Software Installation, Linux, Active Directory, Windows",4+ years,"Ticketing, Hardware"
Network Engineer,"Firewalls, WAN, Cisco, SDN, VPN, Routing, LAN, Switching, Network Security",6+ years,"Network Design, Troubleshooting"
Data Scientist,"Machine Learning, R, Data Visualization, PyTorch, Statistics, TensorFlow, SQL, Python, Deep Learning",5+ years,"A/B Testing, Big Data, ETL, Data Mining, Predictive Modeling"
Data Scientist,"R, TensorFlow, PyTorch, Deep Learning, Python, Machine Learning, Data Visualization, SQL, Statistics",5+ years,"Big Data, ETL, Predictive Modeling"
Data Scientist,"SQL, Machine Learning, R, PyTorch, Deep Learning",4+ years,"Predictive Modeling, ETL"
IT Support Specialist,"Windows, Active Directory, Remote Support, Linux, Network Support",5+ years,"Hardware, User Training, Ticketing, Incident Management"
Data Scientist,"TensorFlow, Machine Learning, Deep Learning, Data Visualization, SQL, R, Python",2+ years,"ETL, Data Mining, Predictive Modeling, A/B Testing, Big Data"
Network Engineer,"WAN, LAN, Cisco, VPN, Network Security, SDN, Firewalls",8+ years,"QoS, Troubleshooting, Network Design, Monitoring, Capacity Planning"
Software Engineer,"Java, Docker, Agile, C++, Microservices, Spring Boot",8+ years,"Design Patterns, Agile Development, Scalability, Unit Testing, Code Quality"
Machine Learning Engineer,"PyTorch, NLP, Data Preprocessing, Python",5+ years,"Model Tuning, Big Data, AI, Algorithm Development"
IT Support Specialist,"Software Installation, Active Directory, Remote Support, Help Desk, Linux, Troubleshooting",4+ years,"Incident Management, Ticketing, User Training, Technical Support"
IT Support Specialist,"Remote Support, Linux, Troubleshooting, Network Support, Windows",6+ years,"Incident Management, Technical Support"
Network Engineer,"SDN, Routing, Firewalls, Cisco",3+ years,"Capacity Planning, QoS, Network Design"
Software Engineer,"REST APIs, Microservices, C++, Python",2+ years,"Code Quality, Agile Development, Scalability, Unit Testing, Design Patterns"
Cloud Engineer,"Docker, Monitoring, Serverless, Terraform, CI/CD, Kubernetes, Azure, AWS, Cloud Security",7+ years,"DevOps, Scalability, Cloud Migration, Automation, Infrastructure as Code"
Software Engineer,"Spring Boot, Python, Microservices, REST APIs, Java, Agile, C++, Docker, Git",4+ years,"Design Patterns, Unit Testing, Scalability, Agile Development"
Machine Learning Engineer,"Deep Learning, Python, TensorFlow, Scikit-Learn, Model Deployment, PyTorch, Data Preprocessing, Computer Vision, NLP",9+ years,"Algorithm Development, Model Tuning"
Network Engineer,"SDN, Switching, VPN, Cisco, Firewalls",4+ years,"Troubleshooting, Network Design"
Cloud Engineer,"Terraform, Monitoring, Serverless, Docker, Kubernetes, Azure",8+ years,"Automation, Infrastructure as Code, DevOps, Scalability, Cloud Migration"
Network Engineer,"WAN, Cisco, Network Security, LAN, VPN, SDN, Switching, Routing",11+ years,"Monitoring, QoS"
IT Support Specialist,"Windows, Active Directory, Software Installation, Network Support",4+ years,"Ticketing, User Training"
Machine Learning Engineer,"Computer Vision, Scikit-Learn, PyTorch, Model Deployment, Deep Learning",5+ years,"Research, Big Data, Algorithm Development"
DevOps Engineer,"Monitoring, Kubernetes, Ansible, Linux, AWS, Terraform, CI/CD",3+ years,"Agile, Automation"
Machine Learning Engineer,"TensorFlow, Data Preprocessing, Deep Learning, Model Deployment",8+ years,"Research, Big Data"
Cybersecurity Analyst,"Network Security, Vulnerability Management, Cryptography, Risk Assessment",8+ years,"Mitigation, SIEM"
Cybersecurity Analyst,"Incident Response, Risk Assessment, Penetration Testing, Vulnerability Management",9+ years,"SIEM, Forensics, Compliance, Mitigation"
Software Engineer,"Agile, REST APIs, C++, Spring Boot",4+ years,"Scalability, Code Quality, Agile Development, Design Patterns"
Cloud Engineer,"Cloud Security, CI/CD, Docker, Azure, Terraform, AWS, Monitoring, Kubernetes",4+ years,"Cloud Migration, Infrastructure as Code, Automation"
Cybersecurity Analyst,"SOC, Vulnerability Management, Cryptography",4+ years,"Compliance, Threat Intelligence, Mitigation, Forensics"
Network Engineer,"Firewalls, Network Security, Cisco, LAN, Switching, Routing, WAN, SDN, VPN",11+ years,"Network Design, Troubleshooting, Monitoring, Capacity Planning, QoS"
Network Engineer,"SDN, Firewalls, Network Security, LAN",2+ years,"Troubleshooting, Monitoring, QoS, Network Design, Capacity Planning"
Data Scientist,"PyTorch, Deep Learning, TensorFlow, Statistics, Data Visualization, SQL, Python",5+ years,"A/B Testing, ETL, Big Data"
Network Engineer,"LAN, VPN, Cisco, Network Security, SDN",7+ years,"Monitoring, QoS, Network Design"
Data Scientist,"PyTorch, Deep Learning, Machine Learning, Python, Data Visualization",3+ years,"Data Mining, A/B Testing"
Cybersecurity Analyst,"SOC, Incident Response, Cryptography",10+ years,"SIEM, Compliance, Threat Intelligence, Forensics, Mitigation"
Network Engineer,"Switching, WAN, SDN, Network Security",10+ years,"Capacity Planning, Monitoring, Troubleshooting, QoS, Network Design"
Network Engineer,"Firewalls, WAN, Network Security, VPN, SDN, Switching, LAN, Cisco, Routing",5+ years,"QoS, Troubleshooting, Monitoring"
Data Scientist,"Machine Learning, TensorFlow, Data Visualization, Python",2+ years,"Big Data, ETL"
Cloud Engineer,"AWS, Kubernetes, Serverless, Cloud Security, Docker, Azure, Monitoring",10+ years,"Automation, Cloud Migration, Infrastructure as Code, DevOps, Scalability"
Machine Learning Engineer,"Computer Vision, PyTorch, TensorFlow, Scikit-Learn, Data Preprocessing, NLP, Python, Deep Learning, Model Deployment",8+ years,"Model Tuning, Research, Algorithm Development, Big Data, AI"
Cloud Engineer,"Kubernetes, AWS, Serverless, Monitoring",4+ years,"Cloud Migration, DevOps, Infrastructure as Code"
Cybersecurity Analyst,"Penetration Testing, Risk Assessment, Cryptography, Incident Response",4+ years,"Mitigation, Compliance"
IT Support Specialist,"Active Directory, Network Support, Troubleshooting, Remote Support, Software Installation, Linux, Help Desk",4+ years,"Ticketing, Hardware, User Training, Technical Support"
Machine Learning Engineer,"Python, Scikit-Learn, Model Deployment, Deep Learning, Computer Vision, PyTorch",9+ years,"Model Tuning, AI, Big Data, Research, Algorithm Development"
Cybersecurity Analyst,"Incident Response, Penetration Testing, Cryptography, Vulnerability Management, Risk Assessment, Network Security, SOC",11+ years,"SIEM, Forensics, Threat Intelligence, Compliance, Mitigation"
Cybersecurity Analyst,"Incident Response, Penetration Testing, Network Security, Cryptography, SOC, Risk Assessment, Vulnerability Management",5+ years,"Forensics, Compliance, SIEM, Mitigation, Threat Intelligence"
Software Engineer,"C++, Agile, Java, Docker, REST APIs, Git, Microservices, Python",4+ years,"Scalability, Code Quality, Agile Development, Design Patterns"
Network Engineer,"Routing, WAN, Cisco, VPN, Switching, Firewalls, LAN, SDN",7+ years,"Troubleshooting, Monitoring"
Network Engineer,"SDN, Firewalls, Switching, Routing, WAN, Network Security, Cisco, VPN",10+ years,"Capacity Planning, Troubleshooting"
Machine Learning Engineer,"Deep Learning, Model Deployment, Computer Vision, PyTorch, NLP, Python, Scikit-Learn, TensorFlow",7+ years,"Algorithm Development, Model Tuning, Big Data"
Software Engineer,"Docker, C++, REST APIs, Agile, Microservices, Java, Python",1+ years,"Scalability, Unit Testing, Agile Development"
DevOps Engineer,"AWS, Ansible, CI/CD, Linux",7+ years,"Agile, Infrastructure as Code, Scalability, Automation"
Machine Learning Engineer,"PyTorch, Python, TensorFlow, Data Preprocessing, NLP, Model Deployment",8+ years,"Big Data, Research, Algorithm Development, Model Tuning"
Cybersecurity Analyst,"Incident Response, Risk Assessment, Cryptography, Vulnerability Management, Penetration Testing, SOC, Network Security",4+ years,"Forensics, Threat Intelligence, SIEM"
Network Engineer,"Firewalls, LAN, Cisco, WAN, Switching, Routing",6+ years,"Network Design, Capacity Planning, QoS"
DevOps Engineer,"Monitoring, Kubernetes, CI/CD, Ansible, Linux",7+ years,"Automation, Agile, Scalability, Infrastructure as Code, Cloud"
Cybersecurity Analyst,"Penetration Testing, Network Security, SOC, Vulnerability Management, Incident Response",2+ years,"Mitigation, Forensics, Threat Intelligence"
Network Engineer,"Routing, SDN, Network Security, Cisco",10+ years,"Monitoring, Troubleshooting, Network Design"
Network Engineer,"Cisco, Network Security, WAN, SDN",4+ years,"Monitoring, Network Design"
Data Scientist,"TensorFlow, SQL, Python, R, Statistics",2+ years,"Big Data, ETL"
Cloud Engineer,"AWS, Serverless, Kubernetes, Azure, CI/CD, Docker, Monitoring, Cloud Security",10+ years,"DevOps, Cloud Migration"
Network Engineer,"LAN, SDN, VPN, WAN, Routing, Switching, Firewalls, Cisco",12+ years,"Monitoring, Troubleshooting, Network Design, Capacity Planning, QoS"
IT Support Specialist,"Linux, Help Desk, Remote Support, Customer Service",1+ years,"Incident Management, Hardware, User Training"
